"Timestamp","Event","Content","Touchpoint","Location","PunctuationInSentece","NumberOfWords","NumberOfCharacters","SelectedButtonIndex","FullSentece","TimeSpan","IdentificationTags","LocationTags"
"2020/01/02 13:23:11.702","sentence-prediction[5]-updated","nine to ten thirty free.","","560,623","Y","5","0","0","i currently have nine to ten thirty free.","","person2, Unknown, person3, person1, person4, person7, person6, person5, person8","location6, lovation7, location5, lcoation1, location4, location2, location3, location8"
"2020/01/02 13:23:11.713","word-prediction[1]-updated","learned","","790,345","","0","0","0","","","",""
"2020/01/02 13:23:11.725","word-prediction[2]-updated","in","","650,130","","0","0","0","","","",""
"2020/01/02 13:23:11.725","word-prediction[3]-updated","seen","","160,410","","0","0","0","","","",""
"2020/01/02 13:23:11.749","word-prediction[4]-updated","read","","290,195","","0","0","0","","","",""
"2020/01/02 13:23:13.030","Letter-button-selected","t","424,295.5","380,260","","0","0","0","","","",""
"2020/01/02 13:23:13.045","output-updated","or exactly what i have t","","","","0","0","0","","","",""
"2020/01/02 13:23:13.129","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:23:13.155","sentence-prediction[1]-updated","to remember what is stored or where it is stored","","740,195","N","10","0","0","and it is like magic because i don't have to remember what is stored or where it is stored","","","location3, location5, lovation7, location6, location4, location2, location8, lcoation1"
"2020/01/02 13:23:13.167","sentence-prediction[2]-updated","that i have used before","","520,410","N","5","0","0","but i can demonstrate how i can get either words or sentences that i have used before","","","location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
"2020/01/02 13:23:13.179","sentence-prediction[3]-updated","to say i have something to say.","","740,130","Y","7","0","0","i want a button to say i have something to say.","","","location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
"2020/01/02 13:23:13.179","sentence-prediction[4]-updated","typed before","","470,195","N","2","0","0","because we are very boring people we can use what we have typed before","","","location3, location5, lovation7, location6, location4, location2, location8, lcoation1"
"2020/01/02 13:23:13.203","word-prediction[1]-updated","the","","520,345","","0","0","0","","","",""
"2020/01/02 13:23:13.216","word-prediction[2]-updated","two","","110,195","","0","0","0","","","",""
"2020/01/02 13:23:13.233","word-prediction[3]-updated","tried","","290,195","","0","0","0","","","",""
"2020/01/02 13:23:13.244","word-prediction[4]-updated","taken","","70,410","","0","0","0","","","",""
"2020/01/02 13:23:14.441","Sentence-prediction[4]-selected","typed before","597,225","","N","2","0","2","typed before","","",""
"2020/01/02 13:23:14.456","output-updated","or exactly what i have typed before ","","","","0","0","0","","","",""
"2020/01/02 13:23:14.561","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:23:14.608","word-prediction[1]-updated","the","","380,195","","0","0","0","","","",""
"2020/01/02 13:23:14.622","word-prediction[2]-updated","i","","650,195","","0","0","0","","","",""
"2020/01/02 13:23:14.634","word-prediction[3]-updated","you","","470,195","","0","0","0","","","",""
