Timestamp,Event,Content,Touchpoint,Location,PunctuationInSentece,NumberOfWords,NumberOfCharacters,SelectedButtonIndex,FullSentece,TimeSpan,IdentificationTags,LocationTags
35:25.4,sentence-prediction[4]-updated,again,,"430,410",N,1,0,0,in fact this is when i would love to begin again,,"person1, person3, person2, person7, person8, Unknown, person4, person5, person6","lcoation1, location8, lovation7, location3, location6, location4, location2, location5"
35:25.4,word-prediction[1]-updated,asked,,"160,410",,0,0,0,,,,
35:25.4,word-prediction[2]-updated,arrived,,"290,130",,0,0,0,,,,
35:25.4,word-prediction[3]-updated,ask,,"160,345",,0,0,0,,,,
35:25.5,word-prediction[4]-updated,actually,,"290,623",,0,0,0,,,,
35:27.0,Sentence-prediction[1]-selected,am,"691.5,662.5",,N,14,0,1,am going to use this system to type as much as i am able.,,,
35:27.1,output-updated,rolf keeps on speaking when i am ,,,,0,0,0,,,,
35:27.2,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
35:27.2,sentence-prediction[1]-updated,going to use this system to type as much as i am able.,,"430,410",Y,13,0,0,from now on i am going to use this system to type as much as i am able.,,"person2, person4, person1, person3, person5, person7, Unknown, person6","lovation7, location2, location8, location5, lcoation1, location6, location4, location3"
35:27.2,sentence-prediction[2]-updated,going to be very happy and fast.,,"430,345",Y,7,0,0,from now on i am going to be very happy and fast.,,"person1, person7, person3, person2, person4, person5, Unknown, person6","location2, lovation7, lcoation1, location6, location8, location5, location3, location4"
35:27.3,sentence-prediction[3]-updated,not sure if that will improve the predictions any,,"560,623",N,9,0,0,but i am not sure if that will improve the predictions any,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
35:27.3,sentence-prediction[4]-updated,not planning what i will type next,,"560,558",N,7,0,0,and i am not planning what i will type next,,"person4, person1, person6, person2, person5, Unknown, person3, person7, person8","location2, location5, location6, location4, lcoation1, location8, lovation7, location3"
35:27.3,sentence-prediction[5]-updated,typing at a faster rate than i usually do.,,"380,195",Y,9,0,0,i think i am typing at a faster rate than i usually do.,,"person1, person7, person3, person2, person4, person5, Unknown, person6, person8","location2, lovation7, lcoation1, location6, location8, location5, location3, location4"
35:27.3,word-prediction[1]-updated,in,,"650,130",,0,0,0,,,,
35:27.3,word-prediction[2]-updated,with,,"110,195",,0,0,0,,,,
35:27.3,word-prediction[3]-updated,so,,"160,410",,0,0,0,,,,
35:27.4,word-prediction[4]-updated,a,,"70,410",,0,0,0,,,,
35:29.5,Sentence-prediction[5]-selected,typing,"427.5,236.5",,N,9,0,1,typing at a faster rate than i usually do.,,,
35:29.5,output-updated,rolf keeps on speaking when i am typing ,,,,0,0,0,,,,
35:29.7,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
35:29.8,sentence-prediction[1]-updated,at a faster rate than i usually do.,,"70,410",Y,8,0,0,i think i am typing at a faster rate than i usually do.,,"person1, person7, person3, person2, person4, person5, Unknown, person6, person8","location2, lovation7, lcoation1, location6, location8, location5, location3, location4"
35:29.8,sentence-prediction[2]-updated,out numbers in text form,,"740,195",N,5,0,0,i have been typing out numbers in text form,,"Unknown, person1, person5, person4, person3, person7, person2, person6, person8","lovation7, location5, lcoation1, location6, location4, location2, location8, location3"
35:29.8,sentence-prediction[3]-updated,at eight words a minute is far too slow for real conversation,,"70,345",N,12,0,0,typing at eight words a minute is far too slow for real conversation,,"unknown, Rolf, Chris","movie_theater_indoor, airplane_cabin, discotheque, bus_interior, elevator_shaft, stage_indoor, cockpit, bar, music_studio, aquarium, escalator_indoor, shower, bathroom, locker_room, car_interior, science_museum, natural_history_museum, engine_room, desert_vegetation, berth, staircase, wind_farm, art_gallery, boat_deck, attic, alcove, reception, clothing_store, dressing_room, shoe_shop, recreation_room, physics_laboratory, repair_shop, lecture_room, classroom, chemistry_lab, office, bowling_alley, office_cubicles, kitchen, television_studio, home_theater, conference_room, hospital_room"
35:29.8,word-prediction[1]-updated,this,,"380,195",,0,0,0,,,,
35:29.8,word-prediction[2]-updated,on,,"740,130",,0,0,0,,,,
35:29.8,word-prediction[3]-updated,in,,"650,195",,0,0,0,,,,
35:29.9,word-prediction[4]-updated,up,,"560,195",,0,0,0,,,,
35:53.5,sentence-added-to-database,rolf keeps on speaking when i am typing,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
35:53.5,TTS-button-selected,rolf keeps on speaking when i am typing ,"999,720","960,688",,0,0,0,,,,
35:53.5,words-per-minute-value_word_count,4.34,,,,8,0,0,rolf keeps on speaking when i am typing,1.84419,,
35:53.5,words-per-minute-value_character_count,4.12,,,,0,39,0,rolf keeps on speaking when i am typing,1.84419,,
36:01.0,Clear-button-selected,Clear,"997.5,520","960,475",,0,0,0,,,,
36:01.0,words-per-minute-value_word_count,4.34,,,,8,0,0,rolf keeps on speaking when i am typing,1.84419,,
36:01.1,words-per-minute-value_character_count,4.12,,,,0,39,0,rolf keeps on speaking when i am typing,1.84419,,
36:01.1,output-updated,,,,,0,0,0,,,,
36:01.1,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
36:01.2,sentence-prediction[1]-updated,hello alex,,"520,410",N,2,0,0,hello alex,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
36:01.2,sentence-prediction[2]-updated,exactly,,"200,195",N,1,0,0,exactly,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
36:01.2,sentence-prediction[3]-updated,hello everyone,,"520,345",N,2,0,0,hello everyone,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
36:01.2,sentence-prediction[4]-updated,the voice,,"380,195",N,2,0,0,the voice,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
36:01.2,sentence-prediction[5]-updated,normal please,,"560,623",N,2,0,0,normal please,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
36:01.2,word-prediction[1]-updated,to,,"380,130",,0,0,0,,,,
36:01.2,word-prediction[2]-updated,and,,"70,345",,0,0,0,,,,
36:01.3,word-prediction[3]-updated,of,,"740,130",,0,0,0,,,,
36:01.3,word-prediction[4]-updated,in,,"650,130",,0,0,0,,,,
36:10.2,Letter-button-selected,i,"706,329.50","650,260",,0,0,0,,,,
36:10.2,output-updated,i,,,,0,0,0,,,,
